SUBASTA;FEC.SUB.;SEGMENTO;PYME;1-NEG;SELLO;TIPO INSTRUMENTO;NALO;SIN RECURSO;PLZ.;T.MIN.;CIERRE;PPV;AG.CPR.;TASA C.;TASA V.;AG.VDR.;MONEDA;MONTO;CANT. INSTRUMENTOS;ESTADO;HORA CONC.;CODIGO RESPONSABLE;CUIT RESPONSABLE;NOMBRE RESPONSABLE;CARACTER;CUIT BENEF.;RAZÓN BENEF.;COND. PYME;V.N. C.;V.N. V.
1444420;22/04/2026;No Garantizado;NO;NO;NO;PAGARE;NO;NO;C.I.;10:45:15;17:00:00;8;406;24,00;24,00;653;$;827.000.000,00;1;Negociada;11:29:46;;30-64538167-6;CARTERA DE VALORES S A;;;;;;;
1444421;22/04/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:45:38;17:00:00;63;;;;287;$;40.000.000,00;2;Desierta (Baja);;BSTR;;Banco de Serv. y Trans. S.A.;AO;;;;;;
1444422;22/04/2026;No Garantizado;NO;SI;NO;PAGARE;NO;NO;C.I.;10:45:45;17:00:00;96;754;9,00;9,00;754;DOL;180.000,00;1;Negociada;10:47:46;;30-71504606-3;FIDEICOMISO NAASE;;30-71504606-3;FIDEICOMISO NAASE;;;;
1444423;22/04/2026;No Garantizado;SI;SI;NO;ECHEQ;NO;NO;C.I.;10:45:55;17:00:00;47;767;50,00;50,00;767;$;52.195.000,00;6;Negociada;11:01:48;;30-71572008-2;MOTO SPORT CAÑADA S.R.L.;AO;30-71572008-2;MOTO SPORT CAÑADA S.R.L.;Certificado MiPyME;;;
1444424;22/04/2026;No Garantizado;NO;SI;NO;ECHEQ;NO;NO;C.I.;10:46:02;17:00:00;87;572;31,00;31,00;572;$;9.000.000,00;3;Negociada;10:49:55;;30-63867350-5;LUIS ALBERTO GONZALEZ S.R.L.;AO;30-71704485-8;BRIBAL AGRO S.R.L.;;;;
1444425;22/04/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:46:02;17:00:00;150;507;30,00;30,00;502;$;13.500.000,00;5;Negociada;15:57:46;RESI;;Resiliencia S.G.R.;AO;;;;;;
1444426;22/04/2026;Garantizado;SI;SI;NO;ECHEQ;NO;NO;24Hs.;10:46:04;17:00:00;187;;;22,00;483;$;720.000.000,00;48;Desierta;;;;;AO;;;Certificado MiPyME;;;
1444427;22/04/2026;No Garantizado;NO;NO;NO;ECHEQ;NO;NO;C.I.;10:46:08;17:00:00;21;405;45,00;45,00;405;$;3.000.000,00;1;Negociada;10:48:10;;30-71152295-2;AGROPRODUCCIONES TORRESI S.R.L.;AO;;;;;;
1444428;22/04/2026;No Garantizado;NO;SI;NO;ECHEQ;NO;NO;C.I.;10:46:17;17:00:00;48;572;31,00;31,00;572;$;54.000.000,00;9;Negociada;10:50:13;;33-70748051-9;EMELKA SOCIEDAD ANONIMA;AO;33-70748051-9;EMELKA SOCIEDAD ANONIMA;;;;
1444429;22/04/2026;Avalado;;SI;NO;ECHEQ;NO;NO;24Hs.;10:46:18;17:00:00;93;502;21,00;21,00;483;$;28.226.453,90;12;Negociada;10:49:35;BIND;;Garantias Bind S.G.R.;AO;;;;;;
